"Drug Name","Active Ingredient","Form;Route","Appl. No.","Company","Date","Link"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","050708","ASTELLAS","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","210115","ASTELLAS","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/210115s006lbl.pdf#page=33"
"Astagraf XL","Tacrolimus","CAPSULE, EXTENDED RELEASE;ORAL","204096","ASTELLAS","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204096s011lbl.pdf#page=33"
"Atelvia","Risedronate Sodium","TABLET, DELAYED RELEASE;ORAL","022560","APIL","02/03/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/022560s013bl.pdf"
"Ativan","Lorazepam","TABLET;ORAL","017794","BAUSCH","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017794s049lbl.pdf#page=14"
"Atoncy","Atomoxetine","SOLUTION","220320","MAP77 LLC","03/20/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/220320Orig1s000lbl.pdf#page=26"
"Atzumi","Dihydroergotamine","POWDER;NASAL","217901","SATSUMA PHARMACEUTICALS","04/30/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217901s000lbl.pdf#page=19"
"Aubagio","Teriflunomide","TABLET;ORAL","202992","SANOFI AVENTIS US","02/11/2026","http://www.accessdata.fda.gov/drugsatfda_docs/label/2026/202992s018lbl.pdf#page=26"
"Austedo","Deutetrabenazine","TABLET;ORAL","216354","TEVA NEUROSCIENCE","02/28/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208082s018,216354s008lbl.pdf#page=29"
"Austedo","Deutetrabenazine","TABLET;ORAL","208082","TEVA BRANDED PHARM","02/28/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/208082s018,216354s008lbl.pdf#page=29"
"Auvelity","Bupropion; Dextromethorphan","TABLET, EXTENDED RELEASE; ORAL","215430","AXSOME INC","04/30/2026","https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/215430s009s018lbl.pdf#page=36"
"Avandamet","Metformin Hydrochloride; Rosiglitazone Maleate","TABLET;ORAL","021410","SB PHARMCO","04/05/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021410s040lbl.pdf#page=38"
"Avandaryl","Glimepiride; Rosiglitazone Maleate","TABLET;ORAL","021700","SB PHARMCO","04/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217006s000lbl.pdf#page=39"
"Avandia","Rosiglitazone Maleate","TABLET;ORAL","021071","WOODWARD","02/05/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021071s052lbl.pdf#page=38"
"Aveed","Testosterone Undecanoate","INJECTABLE;INTRAMUSCULAR","022219","ENDO PHARMS INC","08/16/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022219s014lbl.pdf#page=23"
"Avelox","Moxifloxacin Hydrochloride","TABLET;ORAL","021085","BAYER HLTHCARE","07/11/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021085s069,021277s065lbl.pdf#page=33"
"Avelox in Sodium Chloride 0.8% in Plastic Container","Moxifloxacin Hydrochloride","SOLUTION;INTRAVENOUS","021277","BAYER HLTHCARE","07/11/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/021085s069,021277s065lbl.pdf#page=33"
"Avinza","Morphine Sulfate","CAPSULE, EXTENDED RELEASE;ORAL","021260","KING PHARMS LLC","06/26/2015","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM311346.pdf"
"Avonex","Interferon Beta-1a","VIAL","103628","BIOGEN","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103628s5269lbl.pdf#page=22"
"Avsola","Infliximab-Axxq","INJECTABLE;INJECTION","761086","AMGEN INC","08/25/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761086s013lbl.pdf#page=50"
"Avtozma","Tocilizumab-Anoh","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","761420","CELLTRION","07/28/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761420s001lbl.pdf#page=52"
"Axiron","Testosterone","SOLUTION, METERED;TRANSDERMAL","022504","ELI LILLY AND CO","07/13/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022504s016lbl.pdf#page=15"
"Azstarys","Dexmethylphenidate Hydrochloride; Serdexmethylphenidate Chloride","CAPSULE;ORAL","212994","COMMAVE THERAP","09/23/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/212994s012lbl.pdf#page=25"
"Banzel","Rufinamide","SUSPENSION;ORAL","201367","EISAI INC","05/30/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/201367Orig1s011lbl.pdf#page=19"
"Banzel","Rufinamide","TABLET;ORAL","021911","EISAI INC","11/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021911s017,201367s008lbl.pdf#page=19"
"Bavencio","Avelumab","INJECTABLE;INJECTION","761049","EMD SERONO INC","06/04/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761049s021lbl.pdf#page=36"
"Bavencio","Avelumab","INJECTABLE;INTRAVENOUS","761078","EMD SERONO INC","05/09/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761078s000lbl.pdf#page=23"
"Baxdela","Delafloxacin Meglumine","TABLET;ORAL","208610","MELINTA","06/19/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s007,208611s006lbl.pdf#page=28"
"Baxdela","Delafloxacin Meglumine","POWDER;INTRAVENOUS","208611","MELINTA","12/01/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208611s007lbl.pdf#page=28"
"Belbuca","Buprenorphine Hydrochloride","FILM;BUCCAL","207932","BDSI","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/207932s023lbl.pdf#page=40"
"Belsomra","Suvorexant","TABLET;ORAL","204569","MERCK SHARP DOHME","03/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204569s008lbl.pdf#page=23"
"Benlysta","Belimumab","INJECTABLE;INJECTION","761043","GLAXOSMITHKLINE LLC","06/20/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761043s034lbl.pdf#page=38"
"Benlysta","Belimumab","INJECTABLE; INJECTION","125370","HUMAN GENOME SCIENCES INC.","06/20/2025","https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/125370s085lbl.pdf#page=38"
"Besremi","Ropeginterferon Alfa-2b-Njft","INJECTABLE;SUBCUTANEOUS","761166","PHARMAESSENTIA CORP","04/29/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761166s000lbl.pdf#page=18"
"Betaseron","Interferon Beta-1b","VIAL; SUBCUTANEOUS","103471","BAYER HEALTHCARE PHARMS","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103471s5202lbl.pdf#page=19"
